"tau_k","epsilon","seed","out_S1","alpha_S1","out_S2","alpha_S2","out_S3","alpha_S3","out_S4","alpha_S4","out_S5","alpha_S5","out_S6","alpha_S6","out_S7","alpha_S7","out_S8","alpha_S8","out_S9","alpha_S9","gini_g1_S5","gini_g1_S8","fwd_vs_myo_P","fwd_vs_myo_PG","fwd_vs_myo_PS","signal_myo","signal_fwd","seed_myo","seed_fwd","optimal_vs_naive"
1,0.05,5,84.402243412702,NA,104.255502580119,0.5,102.472791923406,0.5,105.854955342027,0.5,109.952681216776,0.5,106.248741700641,0.5,105.456044901274,0.5,109.741717000756,0.5,105.449180086018,0.5,0.270588235294118,0.270588235294118,-0.398910440753212,-0.210964216019875,-0.799561614623286,4.09772587474941,4.28567209948275,0.393786358614506,-0.00686481525556815,7.2689250773503
1,0.05,6,94.2149357834896,NA,119.036991118294,0.5,119.718709017242,0.5,121.682069686479,0.5,127.520507682556,0.5,120.154449739185,0.5,120.679505182034,0.5,127.380436594687,0.5,120.432000868861,0.5,0.3824,0.42,-1.00256450444471,-0.140071087869501,0.277551129676056,5.8384379960778,6.70093141265301,-1.52761994729326,-0.247504313172499,7.66172757744441
1,0.05,7,83.1432460778453,NA,108.912600906294,0.5,108.325509879445,0.5,111.812659555466,0.5,127.605049996994,0.5,111.024871142831,0.5,111.568853577292,0.5,127.62246150473,0.5,112.311097902655,0.5,0.408,0.428,-0.243805978173995,0.0174115077362984,1.28622675982375,15.792390441528,16.0536079274383,-0.787788412634427,0.742244325363316,19.2969516252847
1,0.05,8,78.9870813260794,NA,101.423096593152,0.5,100.19307770761,0.5,101.645364011443,0.5,106.958356700049,0.5,100.61779180512,0.5,101.391446696382,0.5,106.792545720082,0.5,101.097177800993,0.5,0.31375,0.301818181818182,-0.253917315061244,-0.165810979967134,0.479385995872804,5.3129926886055,5.40109902369962,-1.02757220632375,-0.294268895389706,6.59946801247233
1,0.05,9,79.9172349458268,NA,104.59464932913,0.5,101.747522273535,0.5,107.690667498025,0.5,116.641580486369,0.5,105.957245168814,0.5,107.540178573499,0.5,116.4098568117,0.5,108.236145436058,0.5,0.418333333333333,0.4064,-0.150488924525717,-0.231723674668189,2.27890026724378,8.9509129883435,8.86967823820103,-1.73342232921132,0.69596686255818,14.6623345381658
1,0.05,10,72.2159777452903,NA,93.071901686548,0.5,90.1810915141627,0.5,93.465394927294,0.5,94.9435191469257,0.5,93.3022856531301,0.5,93.1404940038805,0.5,95.1502313150462,0.5,93.6064683267701,0.5,0.168780487804878,0.168780487804878,-0.324900923413452,0.206712168120504,0.304182673640028,1.4781242196317,2.00973731116565,-0.163109274163901,0.465974322889579,4.96913980088345
1,0.05,11,70.2987911402309,NA,90.0143303376112,0.5,85.1979622294876,0.5,89.6887727628844,0.5,90.6606926457972,0.5,89.3268168905104,0.5,89.558608590408,0.5,90.5583141659933,0.5,88.8379879895766,0.5,0.130232558139535,0.145714285714286,-0.130164172476356,-0.10237847980396,-0.488828900933811,0.971919882912843,0.999705575585239,-0.361955872373983,-0.720620600831438,5.36035193650564
1,0.05,12,77.0726133508961,NA,97.6990954018201,0.5,94.8338171737927,0.5,98.861400910721,0.5,102.000306622,0.5,98.4776198976154,0.5,99.075766681903,0.5,102.108411644425,0.5,98.8424627449294,0.5,0.301176470588235,0.298823529411765,0.214365771182074,0.108105022424837,0.364842847313952,3.13890571127938,3.03264496252214,-0.383781013105519,-0.233303936973641,7.27459447063249
1,0.05,13,80.5024922217724,NA,101.868377157041,0.5,99.1135007694867,0.5,102.923520079241,0.5,105.811129076802,0.5,102.368421860081,0.5,103.268196615366,0.5,105.415200091066,0.5,102.780880768425,0.5,0.265142857142857,0.28969696969697,0.344676536124481,-0.395928985735949,0.412458908343567,2.88760899756033,2.1470034756999,-0.55509821916003,-0.487315846940945,6.30169932157914
1,0.05,14,82.4390598987508,NA,106.636483803232,0.5,102.715487590288,0.5,106.423074977131,0.5,111.281573754037,0.5,106.777320963642,0.5,106.572294145653,0.5,111.519268522324,0.5,106.502009785457,0.5,0.332903225806452,0.346666666666666,0.14921916852208,0.237694768287511,-0.275311178185547,4.8584987769058,4.94697437667124,0.354245986511287,-0.0702843601963394,8.80378093203635
1,0.05,15,93.7423487076798,NA,113.033122599378,0.5,110.249027202997,0.5,113.694091783805,0.5,118.095221873458,0.5,113.694054717028,0.5,113.180329722785,0.5,118.106555725275,0.5,113.513708344106,0.5,0.294545454545455,0.31125,-0.513762061019705,0.011333851817426,-0.180346372921733,4.4011300896528,4.92622600248993,-3.70667771107946e-05,0.333378621320861,7.85752852227782
1,0.05,16,85.7211560027588,NA,107.237325876592,0.5,102.955197955252,0.5,107.673290498362,0.5,112.27070796896,0.5,107.201096005461,0.5,107.022081565442,0.5,111.700468113854,0.5,107.71972814365,0.5,0.299393939393939,0.272,-0.651208932920753,-0.570239855105825,0.518632138188735,4.59741747059755,4.67838654841248,-0.47219449290148,0.697646578208008,8.7452701586024
1,0.05,17,79.583660613657,NA,103.609530635166,0.5,99.1792978989213,0.5,104.149936974621,0.5,107.670795579268,0.5,104.083244444324,0.5,103.988189834759,0.5,107.950499375515,0.5,103.708855937529,0.5,0.258064516129032,0.268387096774193,-0.161747139861575,0.279703796247176,-0.374388506794844,3.5208586046471,3.96230954075585,-0.0666925302968338,-0.279333897230103,8.77120147659376
